id;cipher;client_id;provider_id;type_id;sum;position_count;currency_id;payment_term;payment_term_type_id;start_date;finish_date;status_id;link
1;Камерун орхидный B2B;69621;логистический;ключ Borders;36357;86859;площадь deposit bottom-line;99959;facilitate дизайнер пр.;2022-05-17;2022-05-18;Multi-layered Account онлайн;Чад blockchains
2;Резиновый Expanded Тувалу;35458;копировать коммуникационный;проспект;66079;92066;channels;63824;определение;2022-05-18;2022-05-17;сигнализации Avon Гранитный;SSL помощник взлом
3;Bedfordshire;80582;многобайтный;Плащ;50239;5623;Аомынь Bedfordshire Стальной;54059;красно-коричневый;2022-05-18;2022-05-18;Стальной;Avon
4;оранжевый операционный копирование;61075;обойти Vision-oriented payment;копирование partnerships;5918;92705;Натуральный Международный deposit;42353;Свободный;2022-05-18;2022-05-17;Натуральный площадь копирование;Китай Большой
5;Гранитный инженер оптический;65005;Центральный visionary Практичный;ввести интерфейс свободно-распростроняемый;2259;37414;Свободный expedite;80690;Резиновый;2022-05-17;2022-05-17;оранжево-розовый mindshare;многобайтный
6;installation;85945;помощник;резервное оливковый;87549;10414;Натуральный;8411;пл. обойти Balanced;2022-05-17;2022-05-18;ОЗУ;соединение Лесото
7;Borders Того;52903;Стол sexy;интеграционный;63595;92385;Албания;12098;взлом payment Automated;2022-05-18;2022-05-18;visionary инженер;productivity invoice внутренний
8;Buckinghamshire компьютеры;67266;порт;Грубый architect экспортировать;7578;43508;COM viral Buckinghamshire;19613;цифровой;2022-05-18;2022-05-18;Практичный Oro;Деревянный
9;коммуникационный лимонный invoice;24692;optimize специалист функциональный;Клатч;40161;58655;compelling;18879;Интеллектуальный;2022-05-18;2022-05-18;convergence Dollar;leading-edge technologies
10;страховой;49145;логистический свободно-распростроняемый;Forint hardware;40093;19174;излишний;47883;Сабо Avon;2022-05-17;2022-05-17;пл. Компьютер Республика;свободно-распростроняемый
