id;contract_position_id;employee_id;subcontract_id;number_contract_position;restriction_type_id;restriction;currency_id;rate_an_hour;status_id
1;Региональный;14824;53065;63954;логистический сотрудник target;12638;invoice канал Checking;86089;morph Pula Dinar
2;niches оптический архивирование;90181;8661;78670;Потрясающий архивирование Buckinghamshire;2725;Региональный;5874;Бакалея Австрия
3;обход и коммуникационный;78252;90375;29937;перезагрузить зашифровать перезагрузить;12421;Кожанный Потрясающий;14895;innovate Ведущий
4;Замбия Резиновый;18103;46900;25064;багровый консультант Bedfordshire;21648;Интеллектуальный площадь;23361;methodology Кожанный
5;сохранить withdrawal Dollar;32515;45314;46378;envisioneer сенсор;93525;Глобальный лимонный;45720;резервное discrete withdrawal
6;Международный;10902;76826;51118;De-engineered;1842;SDD;36406;Credit real-time
7;резервное Ведущий withdrawal;73022;2508;81923;Кожанный;85112;маркетинговый;54737;коммуникационный
8;запрограммировать;90935;41907;76235;functionalities Mauritius;82338;количества;62148;RSS интерфейс сенсорный
9;vortals engineer;6796;70671;72390;Эргономичный Резиновый операционный;32161;Ботинок CSS;66948;Avon Automated Грубый
10;Pa'anga консультант;70121;50494;89742;Ведущий коммуникационный HTTP;60840;архитектор concept Ведущий;7861;niches Практичный Невероятный
