id;client_id;name;start_date;finish_date;link;status_id
1;85529;Polarised;2022-05-18;2022-05-18;Stand-alone;Аргентина координатор
2;54798;Assimilated Меховой;2022-05-18;2022-05-18;extensible;Total ПЗУ e-services
3;77359;Ведущий redefine Берет;2022-05-18;2022-05-18;world-class золотой;Berkshire Бакалея portals
4;30857;Практичный детское ROI;2022-05-18;2022-05-18;интеграционный сжатие;ул. Buckinghamshire Компьютер
5;24881;Kwacha Челябинская;2022-05-17;2022-05-18;площадь;пурпурный
6;55750;сенсор AGP Областной;2022-05-17;2022-05-18;Ведущий Свитер фиолетовый;сине-фиолетовый розовый
7;85730;кремовый deliverables Маленький;2022-05-17;2022-05-17;Buckinghamshire Клатч services;Nakfa Fiji
8;84185;Маленький Pakistan логистический;2022-05-17;2022-05-17;навигация Bedfordshire;Cambridgeshire Пластиковый мятный
9;97055;ОЗУ количества;2022-05-18;2022-05-17;interactive;Пластиковый
10;3752;Гана;2022-05-18;2022-05-18;Генеральный излишний;синий
