id;contract_id;project_id;subcontract_cipher;status_id;cooperation_type_id;sum;positions;currency_id;payment_term_type_id;payment_term_id;start_date;finish_date;type_id;taskt_type_id;technology_id;domen_id;link
1;20049;20949;Customer-focused;mesh пл.;integrate красный Digitized;63314;61553;Money;интеграционный ПО withdrawal;здоровье;2022-05-18;2022-05-17;многобайтный;туризм;client-server;Куртка импортировать функциональный;reintermediate system-worthy аналитик
2;36251;58152;global Moroccan;вспомогательный moratorium;Автомобильное Свободный;13165;15051;invoice Албания;firmware initiatives Региональный;Cambridgeshire Эргономичный обойти;2022-05-18;2022-05-18;Кошелек Гранитный;systemic payment PNG;беспроводной;Стальной область;Helena
3;19684;12548;Хлопковый менеджер;Хлопковый Лоснящийся Региональный;архитектор;11762;56060;innovate массив;функциональный кортеж ул.;grid-enabled interface foreground;2022-05-17;2022-05-17;reintermediate индексирование Ингушетия;Polarised bricks-and-clicks;Dollar;область;Ботинок innovative
4;63769;31416;Международный task-force;customized;end-to-end COM SDD;23314;66835;менеджер Фантастический;cultivate сотрудник Читинская;withdrawal;2022-05-17;2022-05-18;страховой;Кожанный;округ брандмауэр конденсатор;Down-sized сине-фиолетовый;tertiary Эстония Хлопковый
5;30319;7634;внутренний;синий Horizontal;оранжево-розовый Фильмы Avon;98051;87677;analyzer;основной Стол revolutionize;коммуникационный Дом сенсор;2022-05-17;2022-05-17;sexy deploy Стальной;Bedfordshire;well-modulated Ботинок Плащ;излишний Ивановская;улица virtual
6;79391;73364;страховой квантифицировать Кувейт;область голубой;пр. Меховой;21450;44791;Стальной e-tailers schemas;Auto initiatives Стул;Резиновый;2022-05-18;2022-05-17;Шарф Архангельская enterprise;deposit;Bedfordshire;Cordoba;Россия
7;54408;54544;кросс-платформенный;Афганистан многобайтный;здоровье многобайтный Лоснящийся;30215;84178;Reactive static Account;Кожанный винчестер;e-business;2022-05-17;2022-05-17;Республика;e-commerce вспомогательный;empower attitude-oriented пр.;Avon проспект коммуникационный;Account
8;33788;98821;ПЗУ;архивирование функциональный;solution-oriented Self-enabling Ведущий;6148;64792;мобильный ул.;пл. координатор best-of-breed;COM User-friendly ул.;2022-05-18;2022-05-17;Районный Programmable запрограммировать;content-based Berkshire rich;interfaces;твердотельный;Потрясающий Танзания передача
9;96942;55609;Хлопковый Кожанный;productize;взломать Bedfordshire синтез;82099;33198;Rupee Buckinghamshire withdrawal;разбор;навигировать;2022-05-17;2022-05-18;Lebanese;invoice;Credit;Электроника виртуальный;Плащ Nakfa Майка
10;46468;74156;portals разобрать FTP;web-enabled innovate Автомобильное;Маленький ввести;39287;8598;руководитель killer многобайтный;брандмауэр;поглотитель users virtual;2022-05-18;2022-05-17;users SMTP;Customizable Borders;кортеж cultivate;Кошелек Lari;поглотитель defect
